time,logger,level,message,exception
2012-08-14 06:19:22.4871,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 59, for: IndexingExecuter, will wait for additional work",
2012-08-14 06:19:22.6001,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 59, for: ReducingExecuter, will wait for additional work",
2012-08-14 06:19:22.6891,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:19:28.4814,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:19:44.2963,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:19:49.9516,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:19:55.0219,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:20:00.0872,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:20:05.2295,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:20:10.3428,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:20:15.4131,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:20:20.4634,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:20:25.5677,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:20:30.7160,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:20:36.0153,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:20:41.1676,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:20:46.2119,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:20:51.3341,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:20:56.4474,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:21:01.5597,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:21:06.7110,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:21:12.0973,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:21:17.2216,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:21:17.2546,Raven.Database.Server.HttpServer,Debug,Request # 116: GET     -    31 ms - <default>  - 200 - /stats?noCache=-160518745,
2012-08-14 06:21:22.5629,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:21:27.7322,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:21:32.8285,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 06:21:38.5048,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:46:24.6931,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 59, for: ReducingExecuter, will wait for additional work",
2012-08-14 13:46:24.6931,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 59, for: IndexingExecuter, will wait for additional work",
2012-08-14 13:46:39.2379,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:46:44.8402,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:46:49.8695,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:46:54.9518,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:47:00.2841,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:47:05.4044,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:47:10.5557,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:47:15.8570,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:47:21.0433,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:47:26.2026,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:47:31.2819,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:47:36.3542,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:47:41.4585,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:47:46.5598,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:47:51.6991,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:47:56.7613,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:48:01.8456,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:48:06.9179,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:48:11.9762,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:48:17.1025,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:48:22.1698,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:48:27.2161,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:48:32.3014,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:48:37.4287,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:48:42.4760,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
2012-08-14 13:48:47.6213,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'albums/401' was found,
